,ID,Cond,Sex,Age,Pol,TotCor,variable,value,type,AgeGroup
0,A2BW6WD7LZ9EGV,Training Video,male,29.0,Very liberal,11,Cor01,1,fake,25 to 34
1,AXMPSUNKUBEIL,Condition,male,37.0,Somewhat liberal,11,Cor01,1,fake,35 to 49
2,A2JP8W265WCC35,Training Video,female,49.0,Very liberal,13,Cor01,0,fake,35 to 49
3,A207IHY6GERCFO,Condition,male,36.0,Very Conservative,6,Cor01,1,fake,35 to 49
4,A1V2H0UF94ATWY,Condition,male,59.0,Somewhat liberal,12,Cor01,0,fake,50 and over
5,A3RYI5HXC2MJLN,Condition,male,38.0,Somewhat liberal,9,Cor01,0,fake,35 to 49
6,APGX2WZ59OWDN,Training Video,female,25.0,Very liberal,9,Cor01,0,fake,25 to 34
7,A19CB2C4GY4C60,Condition,male,31.0,Somewhat conservative,10,Cor01,0,fake,25 to 34
8,A36SM7QM8OK3H6,Condition,female,32.0,Very liberal,11,Cor01,0,fake,25 to 34
9,A3U6IA3JUSFZ2M,Training Video,female,37.0,Very liberal,9,Cor01,0,fake,35 to 49
10,A320QA9HJFUOZO,Training Game,male,32.0,Somewhat liberal,9,Cor01,0,fake,25 to 34
11,ACDTQNYOT3GG8,Training Game,female,40.0,Very liberal,10,Cor01,0,fake,35 to 49
12,A3N0QZ9ZKUCTCQ,Condition,male,30.0,Somewhat conservative,9,Cor01,0,fake,25 to 34
13,A2NA2OJT15COZY,Training Video,male,36.0,Somewhat conservative,8,Cor01,1,fake,35 to 49
14,A18G2CLYSTENK,Training Game,male,30.0,Somewhat liberal,4,Cor01,0,fake,25 to 34
15,AA9V4NE8SOA4I,Condition,male,49.0,Somewhat liberal,8,Cor01,0,fake,35 to 49
16,A2TBXASXZIRNNW,Training Video,male,31.0,Somewhat conservative,7,Cor01,0,fake,25 to 34
17,A20NITCOBY4775,Training Video,female,61.0,Very liberal,11,Cor01,1,fake,50 and over
18,ABMPX2Y2IRBMG,Training Game,male,34.0,Very liberal,13,Cor01,1,fake,25 to 34
19,A5YVMQWA2IYPF,Condition,male,42.0,Somewhat liberal,4,Cor01,0,fake,35 to 49
20,A1YSYI926BBOHW,Training Game,male,35.0,Very liberal,9,Cor01,0,fake,35 to 49
21,A4SC8G0149GEG,Training Video,male,28.0,Somewhat liberal,14,Cor01,1,fake,25 to 34
22,A149ROBL26JWPJ,Training Game,male,29.0,Somewhat conservative,8,Cor01,0,fake,25 to 34
23,A3A8P4UR9A0DWQ,Training Video,female,43.0,Very Conservative,7,Cor01,0,fake,35 to 49
24,AOAZMLP27GD81,Condition,male,39.0,Somewhat liberal,14,Cor01,0,fake,35 to 49
25,A3RR85PK3AV9TU,Condition,male,32.0,Very liberal,12,Cor01,0,fake,25 to 34
26,AEQ95NMC3VXQ5,Training Game,female,63.0,Very liberal,10,Cor01,1,fake,50 and over
27,A1KET5Z038NMWD,Training Game,female,37.0,Middle of the road,8,Cor01,1,fake,35 to 49
28,A3CQDCNYJAX2X3,Training Game,female,29.0,Very liberal,8,Cor01,0,fake,25 to 34
29,A2PXJTMWGUE5DC,Condition,female,60.0,Somewhat conservative,10,Cor01,0,fake,50 and over
30,A2SWQM5X54P1O5,Training Video,female,32.0,Middle of the road,12,Cor01,1,fake,25 to 34
31,AYBYMDBEBK5Z,Condition,female,44.0,Somewhat liberal,8,Cor01,0,fake,35 to 49
32,A1F1BIPJR11LSR,Training Game,Other / No Answer,33.0,Somewhat liberal,9,Cor01,0,fake,25 to 34
33,A103XX92AATRSG,Training Video,female,29.0,Middle of the road,7,Cor01,1,fake,25 to 34
34,A2I960JYUZ8KAV,Training Game,male,27.0,Very liberal,10,Cor01,1,fake,25 to 34
35,A3I1W58P6SIV26,Training Video,male,33.0,Somewhat conservative,11,Cor01,0,fake,25 to 34
36,AQORJW4W8U9YU,Training Game,male,32.0,Somewhat liberal,2,Cor01,0,fake,25 to 34
37,A3RWDYQD1331VH,Training Game,female,34.0,Middle of the road,2,Cor01,0,fake,25 to 34
38,A2RR3R75ECQSKE,Condition,Other / No Answer,,I prefer not to answer,3,Cor01,0,fake,
39,A2QQY4S73JO639,Training Video,male,36.0,Somewhat liberal,5,Cor01,1,fake,35 to 49
